Designator,Manufacturer Part Number,Quantity
IC3,ICE40HX4K_TQFP144,1
U8,ETA3406S2F-T,1
U7,DHT11,1
U2,CJT1117-3.3,1
"D3, D4, D5, D6, D7",BL-HB337A-AV-TRB,5
"R17, R27",RC0603JR-07510RL,2
"R32, R40, R41",RC0402JR-074K7L,3
"R13, R16, R19, R23, R26, R29",RC0603FR-0749R9L,6
C20,GRM31CR60J107ME39L,1
"R14, R15, R18, R24, R25, R28",RC0603JR-07470RL,6
L2,LQG15HS4N7S02,1
U4,310090051,1
F2,307010159,1
U1,306020003,1
L1,303010107,1
"D1, D2",SS54B,2
C1,TAJB226K010RNJ,1
R44,RC0402FR-0722RL,1
C57,CC0402JRNPO9BN220,1
L3,LQM2MPN2R2MG0,1
"C3, C4, C6, C7, C8, C10, C11, C12, C13, C14, C23, C24, C25, C35",CC0402KRX5R5BB105,14
R22,RC0402FR-071ML,1
"C32, C39, C42",CC0603MRX5R5BB106,3
"C9, C36, C40, C56, C58, C60, C17, C21, C26, C51",CC0402MRX5R5BB106,10
R36,RC0402JR-0710RL,1
C37,CC0402JRNPO9BN100,1
"C38, C45",CC0402KRX7R9BB103,2
"R35, R48, R49, R50",RC0402FR-0710KL,4
"R20, R21",RC0603FR-0710KL,2
"R3, R4, R5, R6, R8, R9, R10, R11, R37, R42",RC0402FR-0710KL,10
"R30, R31",RC0603FR-0710KL,2
USB1,10118193-0001LF,1
"C44, C46, C47, C48, C55, C59, C2, C5, C15, C18, C19, C22, C27, C28, C29, C16",CC0402KRX7R8BB104,17
"C31, C33, C41, C43",CC0603KRX7R9BB104,4
"R52, R53",RC0402FR-07100KL,2
R34,RC0402JR-070RL,1
R33,RC0402JR-0710RL,1
U5,Bosch;BMP280,1
U6,Quectel;L70-M39,1
U3,MPU-9250,1
